word,category,count,library_count,example
low,未分类,3318,47,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."
medium,未分类,2793,33,Sharp accent characterised by dry medium modulation.
decay,未分类,2575,29,Extended detonation characterised by distortive grumbling and decay.
short,Duration,2495,50,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."
fast,Duration,2479,48,"Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency respons"
impact,未分类,2058,43,"Force Cup. Wet, soft, resonant impact with splashing at the end. Mono, Sanken Co100K high frequency response."
long,Duration,1912,50,"Domestic, Mammal. Long, throaty growling, groaning, snarling and clicking. Mono, Sanken Co100K high frequency response."
hit,未分类,1424,33,"Punch, Hit. Hard, slightly raspy impact. Heavily processed."
soft,Intensity,1407,44,"Wild, Marine, Mammal. Short, soft, nasal grunting with subtle tonality. Mono, Sanken Co100K high frequency response."
tonal,Pitch,1398,33,"Wild, Marine, Mammal. Tonal grunting with throaty groaning. Mono, Sanken Co100K high frequency response."
resonance,未分类,1322,26,Tonal sound with resonance and a whizzing effect.
metallic,Texture,1247,40,Light metallic sound resembling a screw with a subtle vibrato effect.
sound,未分类,1161,29,"Gritty, crunching impact sound paired with a sharp burst of static."
thud,Attack,1106,22,"PROCESSED HIT HIGH Heavy and hard thud, with some reverb."
elements,未分类,1104,29,Extended synthesized movement featuring a fluttering noise with random shimmering elements.
whoosh,未分类,1057,31,Rapid motion with whoosh-like modulation.
like,未分类,975,40,Gemstone-like sizzling with gleaming shimmering tails.
quick,Duration,925,33,"Quick, simple jolt combined with a filtered burst of noise."
hard,Intensity,894,30,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high freque"
deep,Pitch,883,41,"Domestic, Bactrian, Mammal. Deep, aggressive growling and groaning. Mono, Sanken Co100K high frequency response."
rattling,未分类,874,29,"PROCESSED RUPTURE Heavy rattling and shaking, similar to rock being demolished."
noise,未分类,857,26,"Crisp, quivering impact noise with a rising white noise effect."
pitch,未分类,850,30,"Wild. Calm, high, tonal, screaming with stable pitch and subtle clucking at the beginning. Mono, Sanken Co100K high freq"
sharp,Attack,840,36,"Gritty, crunching impact sound paired with a sharp burst of static."
movement,未分类,839,37,"Domestic, Farm, Swine, Mammal. Animated, high, tonal grunting and squealing with movement. Mono, Sanken Co100K high freq"
slow,Duration,815,40,"Vibration, Whisking. Raspy, resonant rubbing with slow stuttering. Mono, Sanken Co100K high frequency response."
voice,未分类,765,9,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response."
strong,Intensity,763,30,Potent burst of white noise reminiscent of a strong punch.
open,Space,760,12,"UI tick characterised by a shuttering popping open action, with a metallic resonance."
tail,未分类,758,39,"Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed."
setup,未分类,734,2,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.
squad,未分类,733,1,A squad of 10 women whining and whimpering. Recorded in an open field  with an AB setup at medium distance.
distance,未分类,695,12,Single long creak in pain in the distance.
airy,Voice,682,30,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."
