word,count,desc_count,fn_count,tier,source,example1,example2,example3
medium,4180,2793,1387,new,both,Sharp accent characterised by dry medium modulation.,Wobble noise with medium modulation.,Jolt with medium accent.
low,3995,3318,677,new,both,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end.","Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording."
short,3728,2495,1233,new,both,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Very short, airy snorting.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."
fast,3508,2479,1029,new,both,"Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency response.","Wild, Ratel, Mammal. Angry, tonal growling and snarling with fast stuttering.","Wild, Ratel, Mammal. Tonal growling and snarling with fast stuttering. Mono, Sanken Co100K high frequency response."
impact,3177,2058,1119,new,both,"Force Cup. Wet, soft, resonant impact with splashing at the end. Mono, Sanken Co100K high frequency response.","Punch, Hit. Hard, slightly raspy impact. Heavily processed.","Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed."
long,2870,1912,958,new,both,"Domestic, Mammal. Long, throaty growling, groaning, snarling and clicking. Mono, Sanken Co100K high frequency response.","Domestic, Mammal. Long, throaty growling, groaning, snarling and clicking.","Domestic, Mammal. Threatening growling, snarling and groaning. Long sequences. Mono, Sanken Co100K high frequency response."
decay,2576,2575,1,new,both,Extended detonation characterised by distortive grumbling and decay.,"PROCESSED DECAY Muffled destruction like sound, with rumbling.",PROCESSED DECAY Hard crackling and crumbling with distortion effect. Harsh with a lot of low end.
whoosh,2320,1057,1263,new,both,Rapid motion with whoosh-like modulation.,Extended motion noise with a gentle whoosh and filter modulation.,Extended motion noise with a descending tonal whoosh.
small,2260,922,1338,new,both,"Small, crunchy impact noise accompanied by a brief burst of static.","Small, distorted jolt with a gritty, crackling noise and a sharp impact.",Short yet potent burst of white noise reminiscent of a small object bouncing.
soft,2142,1407,735,new,both,"Wild, Marine, Mammal. Short, soft, nasal grunting with subtle tonality. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, soft, nasal grunting with subtle tonality.","Wild. Soft, curious, gritty cawing. Mono, Sanken Co100K high frequency response."
tonal,2100,1398,702,new,both,"Wild, Marine, Mammal. Tonal grunting with throaty groaning. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Tonal grunting with throaty groaning.","Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording."
hit,2082,1424,658,new,both,"Punch, Hit. Hard, slightly raspy impact. Heavily processed.","Hit, Punch. Hard, resonant impact with subtle tail. Heavily processed.","Hit, Punch. Hard, low, resonant impact with subtle tail. Heavily processed."
large,2062,908,1154,new,both,Tonal sound with a large jump effect.,Laser noise with a large sweeping bubble-up effect.,"SYNTHETIC HIT LOW Hard rumble, with feedback, resembling shaking of a large building."
hard,1848,894,954,new,both,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning.","Wild, Marine, Mammal. Calm groaning with hard snorts at the end. Mono, Sanken Co100K high frequency response."
movement,1566,839,727,new,both,"Domestic, Farm, Swine, Mammal. Animated, high, tonal grunting and squealing with movement. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Swine, Mammal. Animated, high, tonal grunting and squealing with movement.","Domestic, Farm, Swine, Mammal. Aggressive, tonal squealing with subtle grunting and movement. Mono, Sanken Co100K high frequency response."
slow,1565,815,750,new,both,"Vibration, Whisking. Raspy, resonant rubbing with slow stuttering. Mono, Sanken Co100K high frequency response.","Scratch, Rub. Slow, raspy, resonant scraping with movement. Mono, Sanken Co100K high frequency response.","Scratch, Rub. Slow, raspy chattering and stuttering. Mono, Sanken Co100K high frequency response."
metal,1468,593,875,new,both,Metal sound with filtered pitch delay.,"Synthesized metal impact with a warped, modulated effect.",Metal sound with pitch delay shift.
resonance,1362,1322,40,new,both,Tonal sound with resonance and a whizzing effect.,Wobble effect with shifted resonance of a wine glass.,Glimmering sound with random filter resonance and pitch delay.
